,video_id,comment,polarity,sentiment
0,R0ftmf_Uv9A,No matter how many times these information gets thrown to our eyes. The ignorant will remain put a blind eye to the oppressed which is sad.,-0.16666666666666666,negative
1,R0ftmf_Uv9A,Let peace prevail.,0.0,neutral
2,R0ftmf_Uv9A,Why start at 1946?,0.0,neutral
3,R0ftmf_Uv9A,What happened the video was removed and put again!!,0.0,neutral
4,R0ftmf_Uv9A,"This is not a  conflict, this is occupation.",0.0,neutral
5,R0ftmf_Uv9A,"*To learn who RULES over you, simply find out who you are NOT allowed to CRITICIZE.*",0.0,neutral
6,R0ftmf_Uv9A,So sad. They were living in peace and now suffering for 7 decades 😢,-0.5,negative
7,R0ftmf_Uv9A,Thanks for the video. True history but youtube make it age restricted?,0.275,positive
8,R0ftmf_Uv9A,"Very interesting thing is that ,if you will look the map carefully, Israel very smartly captured the areas 1st which are bordering to jordan  to block any type of access through Jordan! So,that it will be easier for Israel to capture whole Palestinian land!!",0.30267857142857146,positive
9,Bno1m1zhIWs,Who else is here trying to understand what’s going on right now,0.2857142857142857,positive
10,Bno1m1zhIWs,This is the first video which has actually explained things thoroughly! Best way to understand a problem is go back to the original roots of the situation. Thank you for the insight.,0.325,positive
11,Bno1m1zhIWs,The best and most concise clip on explaining this conflict I have ever seen.  And in only six minutes.,0.4,positive
12,Bno1m1zhIWs,Thank you for this excellent breakdown of the history. So many have never heard the total story. Your summation of the multigenerational conflict was well presented.,0.5,positive
13,Bno1m1zhIWs,Great Britain has caused so many problems throughout history,0.65,positive
14,Bno1m1zhIWs,"Not that one will ever put perspective to a child losing their life, but this has helped breakdown of the history summarising of the multigenerational conflict that has led up to date. Thank you for your unbiased insight!",0.0,neutral
15,0anQIEeLonA,"From someone who's a history buff, thank you for this unbiased reporting of history.",0.0,neutral
16,0anQIEeLonA,"Cool finally someone telling both sides of the story , the true history and in unbiased way. Nice video worth sharing",0.31999999999999995,positive
17,0anQIEeLonA,"I've done some basic research on this subject over the years, but so much of what was presented in this video is new to me...I applaud the creators for giving such a concise and focused account, sharing each side's POV, giving us a much clearer view on the past and present situation 👏🏾👍🏾",0.024410774410774414,positive
18,0anQIEeLonA,"As a Palestinian, I have always felt some bias from Indian media against us. But I have to be fair, you have done a good job summarizing the history of the conflict. Thanks",0.5333333333333333,positive
19,0anQIEeLonA,"Amazing synopsis, pertinent timelines, and balanced & unbiased presentation…all done in approx 14 minutes!😂❤ My decree:  This MUST be shared with the multiples!😂",0.6000000000000001,positive
20,0anQIEeLonA,I like this episode because it's really a history that would understand to those who can't understand the history before. Good luck!,0.5375,positive
21,0anQIEeLonA,"The most concise , informative explanation of this crisis done in under 14 minutes. I’ll pass this on and hope others do too.",0.3,positive
22,0anQIEeLonA,This informative video brings a lot of clarity about the ongoing crises in West Asia. Thumbs Up!,0.0,neutral
23,0anQIEeLonA,Thank you for explaining the reasons for this war from both sides so clearly and factual. I appreciate the history lesson.,0.10000000000000002,positive
24,iRYZjOuUnlU,"UK : Prepare for trouble
US : And make it double",-0.1,negative
25,iRYZjOuUnlU,"""Unless something dramatic changes, whatever comes next will be much worse.""

That sent chills down my spine.",-0.2472222222222222,negative
26,iRYZjOuUnlU,Would I be wrong in saying that England kind of botched this entire thing and kind of gets let off the hook for creating a lot of this conflict?,0.175,positive
27,iRYZjOuUnlU,*”Unless something drastic happens - whatever comes next will be much worst”* famous last words and oh boy were you right 🥺🥺,-0.04285714285714286,negative
28,iRYZjOuUnlU,What a great video. A lot of people my age blindly support one side or the other without actually knowing anything about the history at all,0.04375000000000001,positive
29,iRYZjOuUnlU,Thank you for this video. It really cleared things up because I was misinformed by one of my acquaintances regarding the history of Palestine-Israel. I'd like to be educated more about this conflict.,0.35,positive
30,iRYZjOuUnlU,"Britain and France be like: ""Hobbies include drawing straight lines on maps""",0.2,positive
31,iRYZjOuUnlU,"""If you're not careful, the newspapers will have you hating the people who are being oppressed, and loving the people who are doing the oppressing"". 
- Malcolm X



edit: In order to not ruin anyone's day, I want to clarify that both  the Israeli military and Hamas are in the wrong here. What I was trying to say with that quote was that Israel had no right to do what they did in Gaza and the West bank",-0.01857142857142856,negative
32,E4iygQ--7dk,"Another thing, when britain received he mandate over the region, it divided palestina into two part, the eastern part was given to the Hashemite family from Saudi arabia in exchange for their support in the first world war. This is how the state of jordan was created, which is actually part of palestina. Most of the Jordanians are palastinian.",0.25,positive
33,E4iygQ--7dk,"A Brief History of the name Palestine and its derivative Adjective Palestinian:

 1.	Palestine is Judea, the Roman name for ‘Land of the Jews’ when the Roman Emperor Hadrian re-named this land as Palestina in 135 CE. Since then, it was never an Islamic State. [‘In the 2nd century CE, the Romans crushed the Jewish revolt and Judea was renamed Syria Palestina’ – Jewish Virtual Libr.]

2.	The Pre-Islamic Arabs were in the Roman armies and witnessed both Jerusalem’s destruction and the name change of Judea. [Flavius Josephus Wars, Book V, Ch 13, 4]. As well, the Quran mentions Israel as the land of the Jews. Thereby, the Muslim people would be fully aware Palestine referred to the Jews for 2,000 years.

3.	The historical archives of the Persians, Greeks, Romans, British, French and Americans refer to Palestine as the ‘historical homeland of the Jews’, not of the Muslim peoples. America’s early Presidents initiated Israel’s return prior to Britain and Herzl: “Restoring the Jews to their national home in Palestine is a noble dream. My emancipated hope is the restoring of the Jews to their nation home in Palestine” - President Abraham Lincoln to Canadian Zionist Wentworth Monk; 1863. 

4.	The term Palestine was introduced in the Hebrew Bible from the term Plishtim [‘Invaders’]. The Muslims disdained the name Palestine, as they do the term ‘Zionists’ today. In 1947, the Arabs virtually begged of Britain not to use this name for the land. Thereby, the usurping of this name in the 1960’s is not credible as a mark of land ownership, because it was not one of historical usage by the Arabs. 

5.	 A host of Islamic scholars and historians decried and rejected Muslims as Palestinians.: “Allah Gave the Land of Israel to the Jews. The al-Aqsa Mosque was built on top of Solomon’s Temple.” - Eleventh century historian Muhammad Ibn Ahmad al-Maqdisi and fourteenth century Iranian religious scholar Hamdallah al-Mustawfi // “There is no such thing as ‘Palestine’ in history, absolutely not.” - Arab-American historian and Princeton University Professor, Philip Hitti, testifying before the Anglo-American Committee in 1946] 

6.	A host of Jewish organizations and Institutions were called by the prefix of Palestine or Palestinian in the 20th century, including ‘The Jewish Palestine Brigade’ in Britain’s WW2 Military Forces; The [Jewish] Palestine Symphony Orchestra; Today’s Jerusalem Post media was called “The Palestine Post”. 

7.	 There are no Arab Muslim Palestinians on record prior to the 20th century; the land was referred only as the homeland of the Jews. It is validated by a host of archives by many nations, and some one million Archaeological relics. Thereby, the nativity claim can only apply to Jews. In fact, there was never a time of no Jews in Palestine the past 2,000 years, as evidenced by the Crusaders, Islamic invasions and the previous Ottomans. 

8.	Generally, real natives do not usurp the name of other natives, especially one they disdained. [“There is a propaganda war going on now with regard to the term ‘Palestine.’ It is specifically employed to avoid the use of the name Israel, and must be considered an anti-Israel term.” - Dr. Thomas McCall, the Senior Theologian of Levitt Ministry, quoting Zola Levitt.] 

9.	 The previous Islamic Ottoman rulers of Arabia declared Palestine as the homeland of the Jews. - “Who can challenge the rights of the Jews in Palestine? Good Lord, historically it is really your country” - Ottoman Mayor and scholar Yusuf Diya al-Khalidi; Jerusalem, 1899. 

10.	 Judea’s original, previous name was Israel in 1002 BCE, established under King David; and again in 1947 when this country was re-established by the UN. ‘Israel’ is mentioned in the Quran as one belonging to the Jews. [Joshua J. Mark , Ancient History Encyl.) 

11.	 All Religious Scriptures acknowledge Palestine as the ‘Land of Israel’; ‘Land of Judea’; and ‘Land of the Jews’ – including the Hebrew Bible [1 Samuel 13:19]; The New Testaments [ ‘And he arose, and took the young child and his mother, and came into the land of Israel.’ - Matt. 2:21]; The Quran - [Surah Al-Ma'idah 5:20-21.]; and the Dead Sea Scrolls. 

12.	 The Original Philistines converted to the Hebrew Belief and became Israelites. The term Palestine is derived from the Philistines, a Greek Island people who invaded Canaan some 4,000 years ago. The Philistines converted to the Hebrew belief under a peace offer by King David, and held prominent positions in David’s army. [“They (the Philistines) met with a severe defeat, however, early in the reign of David (2 Samuel 5:20), he succeeded in reducing them to a state of vassalage (2 Samuel 8:1). In the year of the fall of Samaria (721 B.C.) they became vassals of Sargon. After the time of the Assyrians the Philistines cease to be mentioned by this name. In the ebb and flow of warring nations over this land it is more than probable that they were gradually absorbed and lost their identity. - [The Catholic Encyl.). / The Philistine cities lost their independence to Assyria, and revolts in following years were all crushed. [Myers 1997, p. 313.] / The theory of the “Lost Ten Tribes” calls for (1) all inhabitants of the Northern Kingdom of Hoshea to be deported by Shalmaneser and Sargon, 722-718 B.C [Hearyhim, Weebly, Armstrongism] / They (the Canaanites) were indeed assimilated into the Israelite nation. When the Assyrians overran the Kingdom of Israel, they did not leave any Canaanite aside, as they had all become Israelites by that time. Therefore, the only people that can trace back a lineage to the ancient Canaanites are the Jews. The Canaanites did not exist any longer after the 8th century b.c.e. and they were not annihilated but assimilated into the Jewish people. - [The True Identity of the So-called Palestinians, imninalu] / The Bible describes the Philistines as remaining “subdued” during David’s reign [Philistine; New World Enycl.]/ Josephus, Antiquities, Book 11, Ch.1] & [Esdras 13:39] Q. How then did the Muslims become Palestinians, an adjective of Palestine, in the 1960’s, and have been using this name as the antithesis of Judea and Israel¬¬¬? A. The Palestinian Name Deception: Those in the West who manoeuvred this name upon Muslims did so to mock, if not desecrate, the history, belief and culture of the Muslim people. Thereby it should be overturned by honourable Muslims.",0.06912878787878787,positive
34,E4iygQ--7dk,Your 1967 Map is wrong this was not occupied land.,-0.5,negative
35,E4iygQ--7dk,Well it seems that the creator of this video skipped a few HISTORY lessons.,-0.2,negative
36,E4iygQ--7dk,History starts from canaan period not 1946,0.0,neutral
37,E4iygQ--7dk,Wonderful explanation..,1.0,positive
38,E4iygQ--7dk,Looks like a rat nibbling cheese,0.0,neutral
39,E4iygQ--7dk,"🤣THAT IS NOT a map of Palestine In 1946 LOL ""Palestine"" the country or well ""the state of palestine"" didnt even exist yet. In fact in 46 Israel didnt even exist lol. It was founded in 2 years later, and the state of palestine over 40 years later. That ENTIRE area was British Mandate Palestine, which wasnt even a country first of all and then named it after the roman name of Syria Palestine, which the romans had renamed from ""Roman Province of Judea"", after beating the jewish revolt and expelling jews from their land, they renamed it after the jews historical enemies, The philistines (which have NOTHING to do with Palestine or modern day Palestenians) SO NO, that is NOT a map of ""Palestine in 46.. I mean if within the first 3 seconds you cant be unbiased, and historically accurate why even bother tackling this incredibly complex subject?",0.12805555555555556,positive
40,E4iygQ--7dk,🎉,0.0,neutral
41,ZQUtT3pnw5Q,What do you think of the conflict going on right now?,0.2857142857142857,positive
42,ZQUtT3pnw5Q,the history of the two seem very different depending on who’s telling the story.,0.0,neutral
43,ZQUtT3pnw5Q,As someone who has some Jewish ancestry my best friend living there and having cousins all throughout Israel and knowing some good honest Palestinian Americans it’s just sad,0.36,positive
44,ZQUtT3pnw5Q,We want peace! No more war,-0.25,negative
45,ZQUtT3pnw5Q,"I think ti is time to find a proper solution - understanding, peace, respect , and acception of each other",-0.0625,negative
